,,,,Walmart,,Exxon Mobil,,Apple,,Berkshire Hathaway,,McKesson,,UnitedHealth Group,,CVS Health,,General Motors,,Ford Motor,,AT&T,,General Electric,,AmerisourceBergen,,Verizon,,Chevron,,Costco,,Fannie Mae,,Kroger,,Amazon.com,,Walgreens,,HP,,,Cardinal Health,,Express Scripts Holding,,J.P. Morgan Chase,,Boeing,,Microsoft,,Bank of America Corp.,,Wells Fargo,,Home Depot,,Citigroup,,Phillips 66,,IBM,,Valero Energy,,Anthem,,Procter & Gamble,,State Farm Insurance Cos.,,Alphabet,,Comcast,,Target,,Johnson & Johnson,,MetLife,,Archer Daniels Midland,,Marathon Petroleum,,Freddie Mac,,PepsiCo,,United Technologies,,Aetna,,Lowe's,,UPS,,AIG,,Prudential Financial,,Intel,,Humana,,Disney,,Cisco Systems,,Pfizer,,Dow Chemical,,Sysco,,FedEx,,Caterpillar,,Lockheed Martin,,New York Life Insurance,,Coca-Cola,,HCA Holdings,,Ingram Micro,,,Energy Transfer Equity,,Tyson Foods,,American Airlines Group,,Delta Air Lines,,Nationwide,,Johnson Controls,,Best Buy,,Merck,,Liberty Mutual Insurance Group,,Goldman Sachs Group,,Honeywell International,,Massachusetts Mutual Life Insurance,,Oracle,,Morgan Stanley,,Cigna,,United Continental Holdings,,Allstate,,TIAA,,INTL FCStone,,CHS,,American Express,,Gilead Sciences,,Publix Super Markets,,General Dynamics,,TJX,,ConocoPhillips,,Nike,,World Fuel Services,,3M,,Mondelez International,,Exelon,,Twenty-First Century Fox,,Deere,,Tesoro,,Time Warner,,Northwestern Mutual
,,,,WMT,,XOM,,AAPL,,BRK.B,,MCK,,UNH,,CVS,,GM,,F,,T,,GE,,ABC,,VZ,,CVX,,COST,,FNMA,,KR,,AMZN,,WAG,,HPQ,,,CAH,,ESRX,,JPM,,BA,,MSFT,,BAC,,WFC,,HD,,C,,PSX,,IBM,,VLO,,ANTM,,PG,,STFGX,,GOOGL,,CMCSA,,TGT,,JNJ,,MET,,ADM,,MPC,,FMCC,,PEP,,UTX,,AET,,LOW,,UPS,,AIG,,PRU,,INTC,,HUM,,DIS,,CSCO,,PFE,,DOW,,SYY,,FDX,,CAT,,LMT,,NYSE,,KO,,HCA,,IM,,,ETE,,TSN,,AAL,,DAL,,NFS,,JCI,,BBY,,MRK,,,,GS,,HON,,,,ORCL,,MS,,CI,,UAL,,ALL,,TIBLX,,INTL,,CHS,,AXP,,GILD,,PUSH,,GD,,TJX,,COP,,NKE,,INT,,MMM,,MDLZ,,EXC,,FOXA,,DE,,TSO,,TWX,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2019,12/17/2019,,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,,,SNLPrice,,SNLPrice,,,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,SNLPrice,,
,,,,3005566,,XOM,,AAPL,,BRK.B,,MCK,,UNH,,CVS,,GM,,F,,T,,GE,,ABC,,VZ,,CVX,,COST,,FNMA,,KR,,AMZN,,WAG,,HPQ,,,CAH,,ESRX,,JPM,,BA,,MSFT,,BAC,,WFC,,HD,,C,,PSX,,IBM,,VLO,,ANTM,,PG,,STFGX,,GOOGL,,CMCSA,,TGT,,JNJ,,MET,,ADM,,MPC,,FMCC,,PEP,,UTX,,AET,,LOW,,UPS,,AIG,,PRU,,INTC,,HUM,,DIS,,CSCO,,PFE,,DOW,,SYY,,FDX,,CAT,,LMT,,NYSE,,KO,,HCA,,IM,,,ETE,,TSN,,AAL,,DAL,,NFS,,JCI,,BBY,,MRK,,,,GS,,HON,,,,ORCL,,MS,,CI,,UAL,,ALL,,TIBLX,,INTL,,CHS,,AXP,,GILD,,PUSH,,GD,,TJX,,COP,,NKE,,INT,,MMM,,MDLZ,,EXC,,FOXA,,DE,,TSO,,TWX,,
,,,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,,,Price,,Price,,,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,Price,,
,,,,,,,12/17/2019,280.41,12/17/2019,227.05,,,12/17/2019,290.47,,,,,,,12/17/2019,38.50,,,,,12/17/2019,61.49,,,,,12/17/2019,3.12,,,12/17/2019,"1,790.66",,,,,,,,,,12/17/2019,138.18,,,12/17/2019,154.69,12/17/2019,35.04,12/17/2019,54.34,,,12/17/2019,77.74,,,,,,,12/17/2019,290.74,,,,,12/17/2019,"1,354.89",,,,,,,12/17/2019,51.17,,,,,12/17/2019,2.90,,,,,,,,,,,12/17/2019,51.79,12/17/2019,95.13,,,12/17/2019,363.92,12/17/2019,147.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/17/2019,231.15,,,,,,,12/17/2019,50.90,12/17/2019,193.52,,,12/17/2019,109.85,,,12/17/2019,49.68,,,12/17/2019,124.95,,,,,,,,,,,,,,,,,,,12/17/2019,44.98,12/17/2019,37.16,,,,,12/17/2019,NA,,
,,,,,,,12/16/2019,279.86,12/16/2019,226.85,,,12/16/2019,292.03,,,,,,,12/16/2019,38.59,,,,,12/16/2019,61.23,,,,,12/16/2019,3.29,,,12/16/2019,"1,769.21",,,,,,,,,,12/16/2019,137.34,,,12/16/2019,155.53,12/16/2019,34.70,12/16/2019,54.22,,,12/16/2019,76.91,,,,,,,12/16/2019,291.78,,,,,12/16/2019,"1,360.70",,,,,,,12/16/2019,50.48,,,,,12/16/2019,3.06,,,,,,,,,,,12/16/2019,51.90,12/16/2019,94.49,,,12/16/2019,365.88,12/16/2019,148.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/16/2019,228.04,,,,,,,12/16/2019,50.72,12/16/2019,195.13,,,12/16/2019,109.62,,,12/16/2019,48.52,,,12/16/2019,123.68,,,,,,,,,,,,,,,,,,,12/16/2019,44.70,12/16/2019,36.81,,,,,12/16/2019,NA,,
,,,,,,,12/13/2019,275.15,12/13/2019,225.37,,,12/13/2019,285.48,,,,,,,12/13/2019,38.26,,,,,12/13/2019,60.81,,,,,12/13/2019,3.46,,,12/13/2019,"1,760.94",,,,,,,,,,12/13/2019,136.81,,,12/13/2019,154.53,12/13/2019,34.44,12/13/2019,53.79,,,12/13/2019,76.39,,,,,,,12/13/2019,284.12,,,,,12/13/2019,"1,346.87",,,,,,,12/13/2019,50.38,,,,,12/13/2019,3.15,,,,,,,,,,,12/13/2019,51.60,12/13/2019,94.14,,,12/13/2019,353.13,12/13/2019,146.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/13/2019,225.00,,,,,,,12/13/2019,50.24,12/13/2019,189.87,,,12/13/2019,109.70,,,12/13/2019,44.83,,,12/13/2019,124.72,,,,,,,,,,,,,,,,,,,12/13/2019,43.82,12/13/2019,36.77,,,,,12/13/2019,NA,,
,,,,,,,12/12/2019,271.46,12/12/2019,225.92,,,12/12/2019,283.61,,,,,,,12/12/2019,38.35,,,,,12/12/2019,61.17,,,,,12/12/2019,3.25,,,12/12/2019,"1,760.33",,,,,,,,,,12/12/2019,138.02,,,12/12/2019,153.24,12/12/2019,34.68,12/12/2019,54.36,,,12/12/2019,77.05,,,,,,,12/12/2019,284.42,,,,,12/12/2019,"1,348.49",,,,,,,12/12/2019,50.54,,,,,12/12/2019,2.98,,,,,,,,,,,12/12/2019,51.03,12/12/2019,94.55,,,12/12/2019,347.03,12/12/2019,147.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2019,226.05,,,,,,,12/12/2019,50.69,12/12/2019,193.56,,,12/12/2019,110.35,,,12/12/2019,42.39,,,12/12/2019,122.64,,,,,,,,,,,,,,,,,,,12/12/2019,44.10,12/12/2019,36.85,,,,,12/12/2019,NA,,
,,,,,,,12/11/2019,270.77,12/11/2019,222.57,,,12/11/2019,280.50,,,,,,,12/11/2019,38.17,,,,,12/11/2019,61.08,,,,,12/11/2019,3.16,,,12/11/2019,"1,748.72",,,,,,,,,,12/11/2019,134.18,,,12/11/2019,151.70,12/11/2019,33.64,12/11/2019,53.17,,,12/11/2019,75.55,,,,,,,12/11/2019,280.60,,,,,12/11/2019,"1,344.25",,,,,,,12/11/2019,49.09,,,,,12/11/2019,2.90,,,,,,,,,,,12/11/2019,50.41,12/11/2019,92.42,,,12/11/2019,344.78,12/11/2019,147.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/11/2019,221.19,,,,,,,12/11/2019,49.45,12/11/2019,191.75,,,12/11/2019,109.59,,,12/11/2019,40.08,,,12/11/2019,120.64,,,,,,,,,,,,,,,,,,,12/11/2019,44.20,12/11/2019,36.16,,,,,12/11/2019,NA,,
,,,,,,,12/10/2019,268.48,12/10/2019,221.26,,,12/10/2019,279.52,,,,,,,12/10/2019,38.06,,,,,12/10/2019,61.23,,,,,12/10/2019,3.10,,,12/10/2019,"1,739.21",,,,,,,,,,12/10/2019,134.50,,,12/10/2019,151.13,12/10/2019,33.53,12/10/2019,53.69,,,12/10/2019,75.78,,,,,,,12/10/2019,283.85,,,,,12/10/2019,"1,342.89",,,,,,,12/10/2019,49.29,,,,,12/10/2019,2.83,,,,,,,,,,,12/10/2019,51.08,12/10/2019,92.45,,,12/10/2019,344.56,12/10/2019,146.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/10/2019,221.88,,,,,,,12/10/2019,49.67,12/10/2019,191.71,,,12/10/2019,110.74,,,12/10/2019,40.69,,,12/10/2019,120.90,,,,,,,,,,,,,,,,,,,12/10/2019,44.72,12/10/2019,35.81,,,,,12/10/2019,NA,,
,,,,,,,12/9/2019,266.92,12/9/2019,221.38,,,12/9/2019,277.54,,,,,,,12/9/2019,38.04,,,,,12/9/2019,61.01,,,,,12/9/2019,3.04,,,12/9/2019,"1,749.51",,,,,,,,,,12/9/2019,134.41,,,12/9/2019,151.36,12/9/2019,33.51,12/9/2019,53.92,,,12/9/2019,75.33,,,,,,,12/9/2019,282.33,,,,,12/9/2019,"1,342.99",,,,,,,12/9/2019,49.57,,,,,12/9/2019,2.76,,,,,,,,,,,12/9/2019,51.58,12/9/2019,92.80,,,12/9/2019,342.28,12/9/2019,146.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/9/2019,221.81,,,,,,,12/9/2019,49.60,12/9/2019,195.95,,,12/9/2019,111.32,,,12/9/2019,41.46,,,12/9/2019,120.46,,,,,,,,,,,,,,,,,,,12/9/2019,44.93,12/9/2019,35.62,,,,,12/9/2019,NA,,
,,,,,,,12/6/2019,270.71,12/6/2019,222.61,,,12/6/2019,280.19,,,,,,,12/6/2019,38.20,,,,,12/6/2019,61.19,,,,,12/6/2019,2.97,,,12/6/2019,"1,751.60",,,,,,,,,,12/6/2019,135.04,,,12/6/2019,151.75,12/6/2019,33.67,12/6/2019,54.37,,,12/6/2019,75.81,,,,,,,12/6/2019,285.27,,,,,12/6/2019,"1,339.39",,,,,,,12/6/2019,49.50,,,,,12/6/2019,2.66,,,,,,,,,,,12/6/2019,51.86,12/6/2019,92.29,,,12/6/2019,348.14,12/6/2019,147.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/6/2019,224.61,,,,,,,12/6/2019,49.80,12/6/2019,198.93,,,12/6/2019,111.10,,,12/6/2019,42.45,,,12/6/2019,120.61,,,,,,,,,,,,,,,,,,,12/6/2019,44.86,12/6/2019,35.42,,,,,12/6/2019,NA,,
,,,,,,,12/5/2019,265.58,12/5/2019,219.60,,,12/5/2019,282.00,,,,,,,12/5/2019,38.19,,,,,12/5/2019,60.82,,,,,12/5/2019,2.80,,,12/5/2019,"1,740.48",,,,,,,,,,12/5/2019,133.06,,,12/5/2019,149.93,12/5/2019,33.09,12/5/2019,53.23,,,12/5/2019,74.71,,,,,,,12/5/2019,286.30,,,,,12/5/2019,"1,326.96",,,,,,,12/5/2019,48.93,,,,,12/5/2019,2.52,,,,,,,,,,,12/5/2019,51.14,12/5/2019,91.01,,,12/5/2019,345.21,12/5/2019,147.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/5/2019,217.14,,,,,,,12/5/2019,49.07,12/5/2019,195.59,,,12/5/2019,109.54,,,12/5/2019,41.27,,,12/5/2019,118.28,,,,,,,,,,,,,,,,,,,12/5/2019,44.86,12/5/2019,35.50,,,,,12/5/2019,NA,,
,,,,,,,12/4/2019,261.74,12/4/2019,218.40,,,12/4/2019,279.32,,,,,,,12/4/2019,38.10,,,,,12/4/2019,60.53,,,,,12/4/2019,2.76,,,12/4/2019,"1,760.69",,,,,,,,,,12/4/2019,132.34,,,12/4/2019,149.85,12/4/2019,33.15,12/4/2019,53.24,,,12/4/2019,74.23,,,,,,,12/4/2019,287.38,,,,,12/4/2019,"1,318.94",,,,,,,12/4/2019,48.66,,,,,12/4/2019,2.50,,,,,,,,,,,12/4/2019,51.11,12/4/2019,90.76,,,12/4/2019,344.12,12/4/2019,148.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/4/2019,215.94,,,,,,,12/4/2019,48.84,12/4/2019,196.74,,,12/4/2019,110.14,,,12/4/2019,40.84,,,12/4/2019,117.94,,,,,,,,,,,,,,,,,,,12/4/2019,44.54,12/4/2019,35.50,,,,,12/4/2019,NA,,
,,,,,,,12/3/2019,259.45,12/3/2019,218.08,,,12/3/2019,276.90,,,,,,,12/3/2019,37.55,,,,,12/3/2019,60.14,,,,,12/3/2019,2.67,,,12/3/2019,"1,769.96",,,,,,,,,,12/3/2019,129.78,,,12/3/2019,149.31,12/3/2019,32.84,12/3/2019,52.58,,,12/3/2019,73.33,,,,,,,12/3/2019,286.19,,,,,12/3/2019,"1,294.74",,,,,,,12/3/2019,48.35,,,,,12/3/2019,2.44,,,,,,,,,,,12/3/2019,51.17,12/3/2019,90.38,,,12/3/2019,341.84,12/3/2019,148.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/3/2019,212.24,,,,,,,12/3/2019,48.11,12/3/2019,195.33,,,12/3/2019,109.44,,,12/3/2019,40.66,,,12/3/2019,116.57,,,,,,,,,,,,,,,,,,,12/3/2019,44.26,12/3/2019,35.19,,,,,12/3/2019,NA,,
,,,,,,,12/2/2019,264.16,12/2/2019,220.33,,,12/2/2019,279.66,,,,,,,12/2/2019,37.32,,,,,12/2/2019,59.96,,,,,12/2/2019,2.64,,,12/2/2019,"1,781.60",,,,,,,,,,12/2/2019,131.47,,,12/2/2019,149.55,12/2/2019,33.43,12/2/2019,53.62,,,12/2/2019,74.52,,,,,,,12/2/2019,287.43,,,,,12/2/2019,"1,288.86",,,,,,,12/2/2019,49.35,,,,,12/2/2019,2.40,,,,,,,,,,,12/2/2019,51.66,12/2/2019,92.94,,,12/2/2019,338.25,12/2/2019,150.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/2/2019,217.64,,,,,,,12/2/2019,49.08,12/2/2019,196.94,,,12/2/2019,111.14,,,12/2/2019,40.99,,,12/2/2019,117.26,,,,,,,,,,,,,,,,,,,12/2/2019,43.91,12/2/2019,35.60,,,,,12/2/2019,NA,,
,,,,,,,11/29/2019,267.25,11/29/2019,220.30,,,11/29/2019,279.87,,,,,,,11/29/2019,37.38,,,,,11/29/2019,60.24,,,,,11/29/2019,2.77,,,11/29/2019,"1,800.80",,,,,,,,,,11/29/2019,131.76,,,11/29/2019,151.38,11/29/2019,33.32,11/29/2019,54.46,,,11/29/2019,75.12,,,,,,,11/29/2019,288.66,,,,,11/29/2019,"1,304.09",,,,,,,11/29/2019,49.91,,,,,11/29/2019,2.54,,,,,,,,,,,11/29/2019,52.66,11/29/2019,93.62,,,11/29/2019,341.23,11/29/2019,151.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/29/2019,221.35,,,,,,,11/29/2019,49.48,11/29/2019,199.92,,,11/29/2019,111.35,,,11/29/2019,40.00,,,11/29/2019,120.12,,,,,,,,,,,,,,,,,,,11/29/2019,44.40,11/29/2019,35.76,,,,,11/29/2019,NA,,
,,,,,,,11/27/2019,267.84,11/27/2019,220.50,,,11/27/2019,280.67,,,,,,,11/27/2019,37.66,,,,,11/27/2019,60.10,,,,,11/27/2019,2.80,,,11/27/2019,"1,818.51",,,,,,,,,,11/27/2019,132.06,,,11/27/2019,152.32,11/27/2019,33.42,11/27/2019,54.34,,,11/27/2019,75.72,,,,,,,11/27/2019,289.45,,,,,11/27/2019,"1,312.13",,,,,,,11/27/2019,49.91,,,,,11/27/2019,2.54,,,,,,,,,,,11/27/2019,52.89,11/27/2019,93.92,,,11/27/2019,341.94,11/27/2019,151.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/27/2019,222.95,,,,,,,11/27/2019,49.78,11/27/2019,200.03,,,11/27/2019,112.02,,,11/27/2019,39.87,,,11/27/2019,120.33,,,,,,,,,,,,,,,,,,,11/27/2019,44.27,11/27/2019,35.78,,,,,11/27/2019,NA,,
,,,,,,,11/26/2019,264.29,11/26/2019,218.90,,,11/26/2019,281.40,,,,,,,11/26/2019,37.40,,,,,11/26/2019,59.89,,,,,11/26/2019,2.82,,,11/26/2019,"1,796.94",,,,,,,,,,11/26/2019,131.67,,,11/26/2019,152.03,11/26/2019,33.35,11/26/2019,53.81,,,11/26/2019,75.46,,,,,,,11/26/2019,287.24,,,,,11/26/2019,"1,313.00",,,,,,,11/26/2019,49.77,,,,,11/26/2019,2.57,,,,,,,,,,,11/26/2019,53.17,11/26/2019,93.83,,,11/26/2019,342.09,11/26/2019,151.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/26/2019,222.45,,,,,,,11/26/2019,49.41,11/26/2019,200.37,,,11/26/2019,112.62,,,11/26/2019,40.11,,,11/26/2019,119.79,,,,,,,,,,,,,,,,,,,11/26/2019,44.01,11/26/2019,35.93,,,,,11/26/2019,NA,,
,,,,,,,11/25/2019,266.37,11/25/2019,219.06,,,11/25/2019,282.67,,,,,,,11/25/2019,37.26,,,,,11/25/2019,59.38,,,,,11/25/2019,2.90,,,11/25/2019,"1,773.84",,,,,,,,,,11/25/2019,131.49,,,11/25/2019,151.23,11/25/2019,33.47,11/25/2019,54.21,,,11/25/2019,75.68,,,,,,,11/25/2019,293.89,,,,,11/25/2019,"1,305.64",,,,,,,11/25/2019,49.95,,,,,11/25/2019,2.65,,,,,,,,,,,11/25/2019,53.31,11/25/2019,93.67,,,11/25/2019,344.82,11/25/2019,149.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/25/2019,222.75,,,,,,,11/25/2019,49.96,11/25/2019,203.87,,,11/25/2019,110.64,,,11/25/2019,40.82,,,11/25/2019,120.60,,,,,,,,,,,,,,,,,,,11/25/2019,44.17,11/25/2019,35.68,,,,,11/25/2019,NA,,
,,,,,,,11/22/2019,261.78,11/22/2019,217.96,,,11/22/2019,276.84,,,,,,,11/22/2019,37.75,,,,,11/22/2019,59.75,,,,,11/22/2019,3.03,,,11/22/2019,"1,745.72",,,,,,,,,,11/22/2019,130.79,,,11/22/2019,149.59,11/22/2019,33.18,11/22/2019,54.28,,,11/22/2019,74.87,,,,,,,11/22/2019,291.83,,,,,11/22/2019,"1,293.67",,,,,,,11/22/2019,49.60,,,,,11/22/2019,2.76,,,,,,,,,,,11/22/2019,53.30,11/22/2019,94.94,,,11/22/2019,338.24,11/22/2019,148.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/22/2019,220.28,,,,,,,11/22/2019,49.25,11/22/2019,201.85,,,11/22/2019,110.04,,,11/22/2019,39.44,,,11/22/2019,119.06,,,,,,,,,,,,,,,,,,,11/22/2019,44.43,11/22/2019,35.66,,,,,11/22/2019,NA,,
,,,,,,,11/21/2019,262.01,11/21/2019,216.63,,,11/21/2019,276.55,,,,,,,11/21/2019,37.60,,,,,11/21/2019,59.61,,,,,11/21/2019,3.03,,,11/21/2019,"1,734.71",,,,,,,,,,11/21/2019,129.93,,,11/21/2019,149.48,11/21/2019,32.84,11/21/2019,53.56,,,11/21/2019,73.90,,,,,,,11/21/2019,293.73,,,,,11/21/2019,"1,300.14",,,,,,,11/21/2019,48.97,,,,,11/21/2019,2.80,,,,,,,,,,,11/21/2019,52.21,11/21/2019,93.56,,,11/21/2019,338.47,11/21/2019,146.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/21/2019,218.23,,,,,,,11/21/2019,48.84,11/21/2019,201.21,,,11/21/2019,110.20,,,11/21/2019,39.30,,,11/21/2019,118.80,,,,,,,,,,,,,,,,,,,11/21/2019,44.39,11/21/2019,35.70,,,,,11/21/2019,NA,,
,,,,,,,11/20/2019,263.19,11/20/2019,217.48,,,11/20/2019,275.56,,,,,,,11/20/2019,37.18,,,,,11/20/2019,59.48,,,,,11/20/2019,2.91,,,11/20/2019,"1,745.53",,,,,,,,,,11/20/2019,129.63,,,11/20/2019,149.62,11/20/2019,32.69,11/20/2019,53.54,,,11/20/2019,73.91,,,,,,,11/20/2019,292.70,,,,,11/20/2019,"1,301.86",,,,,,,11/20/2019,48.94,,,,,11/20/2019,2.70,,,,,,,,,,,11/20/2019,52.93,11/20/2019,93.12,,,11/20/2019,337.77,11/20/2019,146.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/20/2019,217.91,,,,,,,11/20/2019,49.10,11/20/2019,199.91,,,11/20/2019,110.40,,,11/20/2019,39.42,,,11/20/2019,119.30,,,,,,,,,,,,,,,,,,,11/20/2019,45.36,11/20/2019,35.89,,,,,11/20/2019,NA,,
,,,,,,,11/19/2019,266.29,11/19/2019,219.03,,,11/19/2019,274.23,,,,,,,11/19/2019,38.00,,,,,11/19/2019,59.50,,,,,11/19/2019,2.67,,,11/19/2019,"1,752.79",,,,,,,,,,11/19/2019,130.58,,,11/19/2019,150.39,11/19/2019,32.94,11/19/2019,54.03,,,11/19/2019,74.82,,,,,,,11/19/2019,292.72,,,,,11/19/2019,"1,312.59",,,,,,,11/19/2019,49.15,,,,,11/19/2019,2.51,,,,,,,,,,,11/19/2019,53.41,11/19/2019,93.46,,,11/19/2019,336.13,11/19/2019,148.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/19/2019,220.04,,,,,,,11/19/2019,49.33,11/19/2019,200.02,,,11/19/2019,111.03,,,11/19/2019,39.44,,,11/19/2019,120.00,,,,,,,,,,,,,,,,,,,11/19/2019,45.37,11/19/2019,36.26,,,,,11/19/2019,NA,,
,,,,,,,11/18/2019,267.10,11/18/2019,219.35,,,11/18/2019,272.93,,,,,,,11/18/2019,39.63,,,,,11/18/2019,59.44,,,,,11/18/2019,3.00,,,11/18/2019,"1,752.53",,,,,,,,,,11/18/2019,130.62,,,11/18/2019,150.34,11/18/2019,32.96,11/18/2019,54.00,,,11/18/2019,74.40,,,,,,,11/18/2019,294.00,,,,,11/18/2019,"1,319.84",,,,,,,11/18/2019,49.12,,,,,11/18/2019,2.81,,,,,,,,,,,11/18/2019,54.15,11/18/2019,93.14,,,11/18/2019,334.54,11/18/2019,147.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/18/2019,219.73,,,,,,,11/18/2019,49.03,11/18/2019,198.38,,,11/18/2019,111.51,,,11/18/2019,38.87,,,11/18/2019,119.66,,,,,,,,,,,,,,,,,,,11/18/2019,45.41,11/18/2019,35.19,,,,,11/18/2019,NA,,
,,,,,,,11/15/2019,265.76,11/15/2019,219.74,,,11/15/2019,269.40,,,,,,,11/15/2019,39.50,,,,,11/15/2019,59.51,,,,,11/15/2019,3.10,,,11/15/2019,"1,739.49",,,,,,,,,,11/15/2019,129.53,,,11/15/2019,149.97,11/15/2019,32.93,11/15/2019,53.80,,,11/15/2019,74.40,,,,,,,11/15/2019,297.82,,,,,11/15/2019,"1,333.54",,,,,,,11/15/2019,49.27,,,,,11/15/2019,2.87,,,,,,,,,,,11/15/2019,53.93,11/15/2019,93.65,,,11/15/2019,335.55,11/15/2019,144.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/15/2019,220.25,,,,,,,11/15/2019,48.99,11/15/2019,196.01,,,11/15/2019,111.10,,,11/15/2019,39.16,,,11/15/2019,120.76,,,,,,,,,,,,,,,,,,,11/15/2019,45.02,11/15/2019,34.27,,,,,11/15/2019,NA,,
